DATE_KEY,Year,Quarter,Month,Day,Sum of DAY,Sum of MONTH,MONTH_NAME,Sum of QUARTER,Sum of YEAR,DAY_NAME
8c92537f80bd1503ecbc8b76072cc053,2011,Qtr 2,May,4,4,5,Mayth,2,2011,Day
8c9ec1be720ee75d56d0c250d10610fa,2013,Qtr 3,August,17,17,8,Augth,3,2013,Day
8d1d4829b2e801ba4e41ba48f5a549d4,2013,Qtr 3,September,13,13,9,Septh,3,2013,Day
8d35d0f6487ae6100c95dad89a4a414f,2012,Qtr 4,December,3,3,12,Decth,4,2012,Day
8d71482745a6a1be4fbbc5562ade4657,2013,Qtr 2,May,10,10,5,Mayth,2,2013,Day
8db869d79195e5e17fdcc7c203499b29,2012,Qtr 2,June,11,11,6,Junth,2,2012,Day
8dc021e7735ab95ead2c0c92072863b0,2011,Qtr 1,March,20,20,3,Marth,1,2011,Day
8dc681f418bc4515c72be4c903645815,2012,Qtr 3,August,27,27,8,Augth,3,2012,Day
8dd08d219271ec96c543f486de430703,2013,Qtr 3,July,29,29,7,Julth,3,2013,Day
8dd3ccb09d6ab7dd754ab887e66e8652,2012,Qtr 4,October,12,12,10,Octth,4,2012,Day
8e161c35e5af5e9caaca6b537330fb0e,2011,Qtr 3,August,22,22,8,Augth,3,2011,Day
8e8847c1bdf012037ee13bb62da8a5c1,2013,Qtr 4,October,10,10,10,Octth,4,2013,Day
8eb7a1b0dba9fdd5f4248b9cb6b9119b,2013,Qtr 4,October,24,24,10,Octth,4,2013,Day
8f2099f692279474c5211078c1fbcbe0,2011,Qtr 2,April,13,13,4,Aprth,2,2011,Day
8f472ffe3ff3109f420ae91355ff8f3f,2013,Qtr 4,December,2,2,12,Decth,4,2013,Day
8f50e1ce468e1998aca6615f10c9f044,2011,Qtr 1,January,19,19,1,Janth,1,2011,Day
8fa3bab223bec6501ad71f96bb1067b6,2013,Qtr 4,November,27,27,11,Novth,4,2013,Day
9013568230949755036a389cb908cfb4,2011,Qtr 2,May,13,13,5,Mayth,2,2011,Day
901d3c97008878679a99b7d12df8ecda,2011,Qtr 4,December,13,13,12,Decth,4,2011,Day
9028a0765880cb1b7ff6c72ea16b9e72,2011,Qtr 2,May,29,29,5,Mayth,2,2011,Day
90b02462c4aa07aa9f640001bc1770d2,2011,Qtr 4,October,5,5,10,Octth,4,2011,Day
90c6314650a0d54fdcabe5cd5406f9af,2013,Qtr 1,March,18,18,3,Marth,1,2013,Day
90f30c53e79c8b6bcde12e74a091432c,2012,Qtr 4,November,26,26,11,Novth,4,2012,Day
9168e86a755a5c41b2494b0599f3c88a,2012,Qtr 1,January,6,6,1,Janth,1,2012,Day
91709e289a4895815eb969d94809b8ea,2011,Qtr 2,May,16,16,5,Mayth,2,2011,Day
91b7ffe240ad23db6408cd1d19015686,2011,Qtr 2,April,10,10,4,Aprth,2,2011,Day
921bc92a493b53f98f24e6a8a12801be,2013,Qtr 4,December,6,6,12,Decth,4,2013,Day
9223b53f03a405f817e91392f0294f6a,2013,Qtr 1,March,15,15,3,Marth,1,2013,Day
922d04aa1f67bbe0270bfad98508f43e,2013,Qtr 3,July,21,21,7,Julth,3,2013,Day
928ba50351efae8cbed881787bcb4783,2011,Qtr 2,May,11,11,5,Mayth,2,2011,Day
93292bf41ccb6542d121825f25cbf70b,2012,Qtr 1,February,25,25,2,Febth,1,2012,Day
93963041729da5d8213c536f91ed9402,2013,Qtr 1,January,3,3,1,Janth,1,2013,Day
93ddc10d6cf61153011df052aa76671f,2013,Qtr 3,September,15,15,9,Septh,3,2013,Day
93eed705e4cb42d159d4aadc9a0a8461,2011,Qtr 1,February,16,16,2,Febth,1,2011,Day
9444f850ff0c10a862b4a6a9c4ab0a74,2013,Qtr 1,March,14,14,3,Marth,1,2013,Day
